sample,variant,n_bars,n_days,intraday_flips,flips_per_day,switching_days,open_close_mismatch_days,n_bps_episodes,median_hold_hours,episodes_le_3h,bps_opens,bps_closes,round_trips,friction_5contracts_usd,friction_10contracts_usd,eod_agreement_pct
LOW_VOL (<14),baseline,15,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
LOW_VOL (<14),A2a,15,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
LOW_VOL (<14),B,15,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
LOW_VOL (<14),A2a_B,15,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
NEUTRAL (14-22),baseline,1508,224,183,0.817,73,48,56,2.0,40,56,53,53,1325.0,7950.0,100.0
NEUTRAL (14-22),A2a,1508,224,131,0.585,55,41,30,8.0,10,30,27,27,675.0,4050.0,92.4
NEUTRAL (14-22),B,1508,224,101,0.451,80,64,29,5.0,7,28,27,27,675.0,4050.0,98.7
NEUTRAL (14-22),A2a_B,1508,224,85,0.379,71,62,22,13.0,3,21,18,18,450.0,2700.0,91.5
HIGH_VOL (22-30),baseline,203,37,20,0.541,7,4,0,,0,0,0,0,0.0,0.0,100.0
HIGH_VOL (22-30),A2a,203,37,20,0.541,7,4,0,,0,0,0,0,0.0,0.0,100.0
HIGH_VOL (22-30),B,203,37,13,0.351,9,9,0,,0,0,0,0,0.0,0.0,97.3
HIGH_VOL (22-30),A2a_B,203,37,13,0.351,9,9,0,,0,0,0,0,0.0,0.0,97.3
STRESS (≥30),baseline,10,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
STRESS (≥30),A2a,10,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
STRESS (≥30),B,10,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
STRESS (≥30),A2a_B,10,3,0,0.0,0,0,0,,0,0,0,0,0.0,0.0,100.0
