n,median_pnl_pct_bp,mean_pnl_pct_bp,win_rate,median_$bp_day,drift_median_pct,drift_p25_pct,drift_p75_pct,dte,trigger,variant
41,105.74075934345811,50.38142837067952,0.7317073170731707,3.5246919781152704,0.0,0.0,0.0,30,dd12_ma50_reclaim,T_close
41,100.54345875848065,54.254285831861424,0.7560975609756098,3.3514486252826883,-0.024273285318676674,-0.48945619672444707,0.425360276956388,30,dd12_ma50_reclaim,T1_open
41,86.53008450999707,52.50793101763753,0.7560975609756098,2.8843361503332354,0.23038976355771457,-0.9592862125632595,1.152482269503552,30,dd12_ma50_reclaim,T1_close
41,90.78011464014014,56.330024851289046,0.7560975609756098,3.0260038213380045,0.19980482422370383,-1.8287939607573689,1.700686209395963,30,dd12_ma50_reclaim,T2_close
192,83.15731682832791,22.24557938910162,0.59375,2.7719105609442636,0.0,0.0,0.0,30,dd15_naive,T_close
192,75.31659520826526,23.08639666774818,0.609375,2.510553173608842,0.04737092856561542,-0.3387849507042545,0.432294949050932,30,dd15_naive,T1_open
192,55.30746693357787,20.786001631449967,0.609375,1.8435822311192624,0.26913565570009235,-1.5296873484391238,2.4424645294949032,30,dd15_naive,T1_close
192,52.69779071379777,19.6286600396319,0.6197916666666666,1.756593023793259,0.9583153048650317,-1.7225695080425651,3.4801634249041813,30,dd15_naive,T2_close
41,92.50607996891826,43.16959827991024,0.7317073170731707,1.5417679994819709,0.0,0.0,0.0,60,dd12_ma50_reclaim,T_close
41,90.54567228787096,41.23424190356587,0.7317073170731707,1.5090945381311827,-0.024273285318676674,-0.48945619672444707,0.425360276956388,60,dd12_ma50_reclaim,T1_open
41,78.30229951610251,40.353084267746965,0.7317073170731707,1.305038325268375,0.23038976355771457,-0.9592862125632595,1.152482269503552,60,dd12_ma50_reclaim,T1_close
41,80.90507570937969,45.642962939044175,0.7560975609756098,1.3484179284896614,0.19980482422370383,-1.8287939607573689,1.700686209395963,60,dd12_ma50_reclaim,T2_close
192,78.7279661920297,14.92596357225043,0.5885416666666666,1.3121327698671617,0.0,0.0,0.0,60,dd15_naive,T_close
192,76.14822162846987,16.69056366243107,0.59375,1.2691370271411644,0.04737092856561542,-0.3387849507042545,0.432294949050932,60,dd15_naive,T1_open
192,62.65390437670287,15.918595000298827,0.59375,1.0442317396117144,0.26913565570009235,-1.5296873484391238,2.4424645294949032,60,dd15_naive,T1_close
192,57.790668794517245,13.503464548279789,0.5885416666666666,0.9631778132419541,0.9583153048650317,-1.7225695080425651,3.4801634249041813,60,dd15_naive,T2_close
41,87.44609291401932,52.30107925524728,0.8048780487804879,0.9716232546002146,0.0,0.0,0.0,90,dd12_ma50_reclaim,T_close
41,83.40500896035633,49.27451978556566,0.8048780487804879,0.926722321781737,-0.024273285318676674,-0.48945619672444707,0.425360276956388,90,dd12_ma50_reclaim,T1_open
41,82.50824738145542,49.205032845814955,0.8048780487804879,0.9167583042383936,0.23038976355771457,-0.9592862125632595,1.152482269503552,90,dd12_ma50_reclaim,T1_close
41,80.21130108010037,52.79250783784775,0.8048780487804879,0.8912366786677819,0.19980482422370383,-1.8287939607573689,1.700686209395963,90,dd12_ma50_reclaim,T2_close
192,69.8567892859363,10.599543436591233,0.6041666666666666,0.7761865476215145,0.0,0.0,0.0,90,dd15_naive,T_close
192,71.11740060029722,11.674956334693528,0.609375,0.7901933400033024,0.04737092856561542,-0.3387849507042545,0.432294949050932,90,dd15_naive,T1_open
192,61.652401899697125,11.443866772365832,0.609375,0.6850266877744124,0.26913565570009235,-1.5296873484391238,2.4424645294949032,90,dd15_naive,T1_close
192,57.5140925995981,8.526586583670658,0.609375,0.6390454733288677,0.9583153048650317,-1.7225695080425651,3.4801634249041813,90,dd15_naive,T2_close
