exit_year,n_trades,wr_pct,total_pnl,pnl_pct_nlv,worst,config
2000,19,57.89473684210527,-6243.791281894857,-1.2487582563789714,-4138.057028375425,V2f_base
2001,14,57.14285714285714,-13540.10683049098,-2.708021366098196,-9088.196743867895,V2f_base
2002,15,60.0,-10389.020556398054,-2.077804111279611,-6017.167911689495,V2f_base
2003,32,90.625,17033.653805592097,3.406730761118419,-3179.0845414645987,V2f_base
2004,28,71.42857142857143,7580.915415786008,1.5161830831572016,-1843.6952396809033,V2f_base
2005,25,64.0,840.7723973008547,0.16815447946017095,-1699.442645375001,V2f_base
2006,31,87.09677419354838,13005.444150078762,2.6010888300157524,-2801.785161387022,V2f_base
2007,28,60.71428571428571,-14578.448011116136,-2.915689602223227,-4498.991407353123,V2f_base
2008,10,40.0,-38891.52189933845,-7.77830437986769,-21938.46529848609,V2f_base
2009,29,93.10344827586206,28799.062078340387,5.759812415668077,-3013.789323202741,V2f_base
2010,27,74.07407407407408,-327.25531183360476,-0.06545106236672095,-8734.98824910472,V2f_base
2011,26,65.38461538461539,-18654.472884652492,-3.730894576930498,-16097.600002420075,V2f_base
2012,30,73.33333333333333,14573.375594757854,2.9146751189515707,-2898.792498975564,V2f_base
2013,36,83.33333333333334,26603.97668257964,5.320795336515928,-1750.482772724331,V2f_base
2014,34,82.35294117647058,14427.062478263988,2.8854124956527976,-4492.085278145424,V2f_base
2015,25,68.0,-7343.493343795906,-1.4686986687591812,-18520.938938617765,V2f_base
2016,26,84.61538461538461,14344.501796569224,2.868900359313845,-9128.11825224619,V2f_base
2017,36,91.66666666666666,34438.55732864173,6.887711465728345,-1110.7675736035617,V2f_base
2018,28,60.71428571428571,-32593.00406878289,-6.518600813756578,-16526.24756820246,V2f_base
2019,29,75.86206896551724,18381.344782897268,3.6762689565794537,-6563.071200303466,V2f_base
2020,33,90.9090909090909,-31045.91770614105,-6.209183541228209,-52967.05167177911,V2f_base
2021,37,86.48648648648648,99436.3600809064,19.887272016181278,-4401.20200107674,V2f_base
2022,18,27.77777777777778,-165723.1026440282,-33.14462052880564,-36356.145391727514,V2f_base
2023,31,77.41935483870968,40234.05032806521,8.046810065613043,-10741.446481351079,V2f_base
2024,36,91.66666666666666,90973.38048868487,18.194676097736973,-14457.04054190669,V2f_base
2025,31,83.87096774193549,59501.00225660947,11.900200451321894,-20878.94539634897,V2f_base
2026,11,63.63636363636363,2358.912647393805,0.47178252947876104,-10435.604382366091,V2f_base
2000,9,44.44444444444444,-2457.9864833685833,-0.4915972966737166,-3466.013823762347,V2f_G6
2001,12,75.0,-703.1692996634204,-0.14063385993268407,-7089.39370879753,V2f_G6
2002,11,63.63636363636363,-3796.9378756606757,-0.7593875751321352,-6017.167911689495,V2f_G6
2003,10,70.0,-8.214190631121255,-0.001642838126224251,-3179.0845414645987,V2f_G6
2008,2,100.0,2927.8174718128166,0.5855634943625634,1427.7604225677244,V2f_G6
2009,30,93.33333333333333,30472.04772016346,6.0944095440326915,-3013.789323202741,V2f_G6
2010,12,91.66666666666666,5958.875594783661,1.191775118956732,-5948.1856908526315,V2f_G6
2011,6,100.0,8028.843211494419,1.6057686422988837,22.01587196690582,V2f_G6
2012,4,100.0,6186.721834494488,1.2373443668988975,1362.0317670761835,V2f_G6
2020,23,95.65217391304348,83202.95021663117,16.640590043326235,-1442.0894281761662,V2f_G6
2021,12,100.0,54964.24344303711,10.992848688607422,2179.6070948274464,V2f_G6
2022,9,55.55555555555556,-43588.90847309428,-8.717781694618855,-23869.620715206533,V2f_G6
2023,2,100.0,5153.78654027113,1.030757308054226,1937.1637410049857,V2f_G6
2024,1,100.0,6493.947454364155,1.298789490872831,6493.947454364155,V2f_G6
2025,3,100.0,20491.075032671764,4.098215006534353,6081.689233232657,V2f_G6
