sleeve_a,sleeve_b,both_days,both_pct,a_only_days,b_only_days,either_days,P(a_and_b|a),P(a_and_b|b)
main,main,3760,77.22,0,0,3760,100.0,100.0
main,dd_overlay,860,17.66,2900,226,3986,22.87,79.19
main,aftermath,416,8.54,3344,102,3862,11.06,80.31
main,hv_ladder,3389,69.6,371,933,4693,90.13,78.41
dd_overlay,dd_overlay,1086,22.3,0,0,1086,100.0,100.0
dd_overlay,aftermath,227,4.66,859,291,1377,20.9,43.82
dd_overlay,hv_ladder,918,18.85,168,3404,4490,84.53,21.24
aftermath,aftermath,518,10.64,0,0,518,100.0,100.0
aftermath,hv_ladder,361,7.41,157,3961,4479,69.69,8.35
hv_ladder,hv_ladder,4322,88.77,0,0,4322,100.0,100.0
