date,above_ma50,ma50_slope_pos,ddath,vix,vix_5d_change,ivp_252,total_pnl
2020-11-27,1,1,0.0,20.84000015258789,-2.270000457763672,22.709163346613543,19090.18597590113
2020-11-30,1,1,-0.004595548640170977,20.56999969482422,-3.1300010681152344,22.31075697211155,-605.0626591326796
2020-12-01,1,1,0.0,20.770000457763672,-1.8899993896484375,22.31075697211155,3279.776064308979
2020-12-02,1,1,0.0,21.170000076293945,-0.4699993133544922,22.709163346613543,308.05421703006886
2020-12-03,1,1,-0.000624157213091503,21.280000686645508,0.030000686645507812,23.107569721115535,102.17730244177646
2020-12-04,1,1,0.0,20.790000915527344,-0.049999237060546875,21.51394422310757,2857.8863501421006
2020-12-07,1,1,-0.0019356376714373402,21.299999237060547,0.7299995422363281,23.107569721115535,-569.1370446098678
2020-12-08,1,1,0.0,20.68000030517578,-0.09000015258789062,20.318725099601593,17004.175293436216
2021-01-22,1,1,-0.0030106116552376383,21.90999984741211,-1.3400001525878906,15.139442231075698,168.51042279735455
2021-02-08,1,1,0.0,21.239999771118164,-9.0,6.374501992031872,1516.1802208712581
2021-02-09,1,1,-0.0011135249921484514,21.6299991607666,-3.9300003051757812,10.358565737051793,-296.8287322229196
2021-02-10,1,1,-0.001458325552458728,21.989999771118164,-0.9200000762939453,12.350597609561753,-51.763131687660206
2021-02-11,1,1,0.0,21.25,-0.5200004577636719,5.577689243027888,14931.357357341167
2021-02-16,1,1,-0.0005692724183511411,21.459999084472656,0.2199993133544922,7.569721115537849,-33.17023809523809
2021-02-17,1,1,-0.0008894920315511978,21.5,-0.12999916076660156,7.569721115537849,-33.17023809523809
2021-03-15,1,1,0.0,20.030000686645508,-5.439998626708984,0.398406374501992,4847.165933854955
2021-03-18,1,1,-0.014760539319459198,21.579999923706055,-0.3299999237060547,10.358565737051793,-11043.64523553398
2021-03-19,1,1,-0.015354347058446294,20.950000762939453,0.26000022888183594,4.382470119521913,5278.853984529903
2021-03-23,1,1,-0.016003567023852305,20.299999237060547,0.5099983215332031,1.9920318725099602,-4078.059876110235
2021-05-18,1,1,-0.02475311088077159,21.34000015258789,-0.5,22.31075697211155,-33.17023809523809
