mean,median,p05,p95,std,worst,best,metric,mode
1.8020435822688383,1.819594539351943,1.6078859421775504,1.966919375795607,0.12302507209506751,1.4968078444054242,2.0012313633461574,delta_roe_pp,smoothed
1.8003023169560595,1.8169724252760968,1.606157304631399,1.9633968621575593,0.12313847141816253,1.4931524303714028,1.9981956006998693,delta_roe_pp,unsmoothed
1.3183393000268808,1.4760263088461527,-0.6383803457971624,3.3202234061712437,1.4661521604988863,-1.5482833188186262,3.9144774764835537,delta_maxdd_pp,smoothed
1.177579390301385,0.8111941176017807,-1.027304043474313,3.204553924371362,1.5083389736817698,-1.1087829711219221,3.522403243007976,delta_maxdd_pp,unsmoothed
1.1611383795183574,1.2449384053951063,-0.7997482886858487,3.1356300424773718,1.3633667295830987,-1.770373790207172,3.4624248595128893,delta_w20d_pp,smoothed
1.0814019154837016,1.195712501167503,-1.2987386493379196,2.859319651465303,1.4920279506965555,-1.3619617337864103,2.941536334466413,delta_w20d_pp,unsmoothed
3.592352618727948,4.091541331237648,0.5072713327076859,5.617878203637506,1.791164723518196,-0.09748843108232386,5.941796447543258,delta_w63d_pp,smoothed
3.5006375501830105,3.8404881962457096,0.5433505915626188,5.424514486737935,1.7467043260088597,0.06593687492244804,5.848287172033358,delta_w63d_pp,unsmoothed
1.1957509487289422,1.2055667188958352,0.9961055181800667,1.3603058360976408,0.12868908822905142,0.9299328941492218,1.444504464366362,delta_sharpe,smoothed
0.4815762479092275,0.4776043752973438,0.34519872335302826,0.6412293312775864,0.09480723896351335,0.27973178321988534,0.66193248487299,delta_sharpe,unsmoothed
559.1,559.0,556.0,561.0,1.618966531951463,556.0,561.0,n_trades,smoothed
559.1,559.0,556.0,561.0,1.618966531951463,556.0,561.0,n_trades,unsmoothed
3890756.419445444,3932840.7118335515,3385818.5117916195,4329628.6092553735,321472.1426479699,3109046.6371852024,4423970.835443376,ladder_cum_pnl,smoothed
3886170.4690449373,3925900.385869513,3381466.162106972,4319983.887682457,321543.41878177144,3100064.559965502,4415592.125202629,ladder_cum_pnl,unsmoothed
