entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,cell,vix_5d_avg
2005-08-31,2005-09-30,3813.094476735246,profit_target,-6.19136993734665,9.8647,62.43195426033178,21,LOW_VOL·NEUTRAL,13.44
2005-09-30,2005-11-03,2778.203349154856,roll_21dte,-5.932264567189918,10.6798,43.85109063377102,24,LOW_VOL·NEUTRAL,12.52
2006-02-14,2006-03-21,4000.26455246633,profit_target,-6.322298673104015,9.9216,63.772286894510856,24,LOW_VOL·NEUTRAL,12.88
2007-12-06,2008-01-11,-2704.207902490598,roll_21dte,-12.85970206869763,4.5787,-45.926884057884536,24,NORMAL·HIGH·NEUTRAL,22.75
2008-06-04,2008-07-09,-6518.943655140697,roll_21dte,-11.535095620648775,5.1766,-109.17203867153118,24,NORMAL·NEUTRAL·NEUTRAL,19.37
2008-09-02,2008-10-06,-11125.947845903474,roll_21dte,-11.395607960504393,5.0443,-193.55242297657406,24,NORMAL·NEUTRAL·NEUTRAL,20.46
2011-07-11,2011-08-10,-12043.688912088439,stop_loss,-9.912687011740118,6.0668,-200.26656893037676,22,NORMAL·NEUTRAL·NEUTRAL,16.54
2012-07-24,2012-08-27,2947.202691892109,roll_21dte,-11.085000067065494,5.368,49.52925527476683,24,NORMAL·NEUTRAL·NEUTRAL,17.39
2013-07-05,2013-08-08,2475.719013942971,roll_21dte,-9.767423707449367,6.2099,40.816589888607645,24,LOW_VOL·NEUTRAL,16.15
2014-04-07,2014-05-02,3937.7311534439586,profit_target,-11.734250089398898,5.2004,64.52885691865409,18,NORMAL·HIGH·NEUTRAL,13.82
2014-08-13,2014-09-17,2694.0350568482645,roll_21dte,-10.270503817010564,6.1259,42.81949996606477,24,LOW_VOL·NEUTRAL,14.74
2015-10-13,2015-11-16,3068.6716149031236,roll_21dte,-14.22170146784265,4.1838,51.573658779166045,24,NORMAL·HIGH·NEUTRAL,17.35
2015-12-03,2016-01-08,-4262.174022501402,roll_21dte,-15.214937719851122,3.9623,-70.69906078219431,24,NORMAL·HIGH·NEUTRAL,15.99
2016-10-03,2016-11-04,-3662.1977667923707,roll_21dte,-11.959900018999207,5.109,-59.93470080691321,24,LOW_VOL·NEUTRAL,13.27
2017-08-22,2017-09-21,3855.0399180977543,profit_target,-11.324370851048542,5.5316,61.54092621450049,21,LOW_VOL·NEUTRAL,13.22
2018-02-22,2018-03-16,3609.6422078461947,profit_target,-20.434956274627268,2.9008,60.893741141222065,16,NORMAL·HIGH·NEUTRAL,19.59
2018-03-16,2018-04-20,1094.6958737513348,roll_21dte,-17.59832535665612,3.4937,17.80477658785072,24,NORMAL·HIGH·NEUTRAL,16.35
2018-04-20,2018-05-09,3981.9676789038026,profit_target,-18.328790416110564,3.3249,65.34093389678452,13,NORMAL·HIGH·NEUTRAL,16.05
2021-12-17,2022-01-11,3572.6432682390673,profit_target,-40.48977710875465,1.4657,60.20037267093197,16,NORMAL·HIGH·NEUTRAL,20.73
2023-11-03,2023-12-08,-318.1498906808584,roll_21dte,-26.294683928134702,2.3267,-5.200240552827886,24,LOW_VOL·NEUTRAL,17.07
2024-04-12,2024-05-03,4384.345911657617,profit_target,-36.12028923004516,1.6806,72.22527979039766,15,NORMAL·HIGH·NEUTRAL,15.64
2024-05-03,2024-06-07,1035.8647857427054,roll_21dte,-28.389355377926563,2.1928,16.639815845106263,24,LOW_VOL·NEUTRAL,14.78
2024-09-03,2024-09-24,3579.8090479031325,profit_target,-46.75315455573616,1.2694,60.31848823214268,15,NORMAL·HIGH·NEUTRAL,16.78
2025-11-13,2025-12-03,3753.150958509233,profit_target,-54.31550911130739,1.1101,62.245803240075425,13,NORMAL·HIGH·NEUTRAL,18.29
2025-12-18,2026-01-22,3744.7751701409525,profit_target,-46.45991624632154,1.304,61.81156428642325,22,NORMAL·NEUTRAL·NEUTRAL,16.64
2026-04-08,2026-05-12,-2398.212541727889,roll_21dte,-57.57633115603892,1.0208,-40.80402649498102,24,NORMAL·HIGH·NEUTRAL,23.88
